"","Quiz","WebAssign.Homework","iClicker"
"Quiz",NA,0.000379206384894082,0.0744343562176035
"WebAssign.Homework",0.43086878456438,NA,0.0151367171754017
"iClicker",0.224560192081045,0.302449193388587,NA
